This is the beginning of the performance data save operation
Data Management



Time,Measuring Object,SEIZURE TRAFFIC(ERL),
"04/09/2024 01:00:00","TNS-PLUS_Astana(218)","0.00",
"04/09/2024 01:00:00","Rostelecm_MN_OUT(228)","0.01",
"04/09/2024 01:00:00","RTK-PL(229)","0.00",
"04/09/2024 01:00:00","Tata-America_SP2(234)","0.00",
"04/09/2024 01:00:00","Tata-America_SP(236)","0.00",
"04/09/2024 01:00:00","MTT_MSK_MN(241)","0.00",
"04/09/2024 01:00:00","Oblcom_Swiss(250)","0.04",
"04/09/2024 01:00:00","Megafon_MSK_MN_OUT(251)","0.00",
"04/09/2024 01:00:00","Megafon_MSK_MG(252)","2.52",
"04/09/2024 01:00:00","Megafon_MSK_MG2(253)","0.05",
"04/09/2024 01:00:00","China Telecom_GZU(260)","0.00",
"04/09/2024 01:00:00","China Telecom_SHI(262)","0.00",
"04/09/2024 01:00:00","MTS_MSK_MN(263)","0.00",
"04/09/2024 01:00:00","Romtelecom_Buharest(266)","0.00",
"04/09/2024 01:00:00","Romtelecom_Brasov(268)","0.00",
"04/09/2024 01:00:00","Vimpelcom_DEFnew(278)","0.05",
"04/09/2024 01:00:00","EXATEL(288)","0.00",
"04/09/2024 01:00:00","TTK_Kazahstan(289)","0.00",
"04/09/2024 01:00:00","China Mobile 12062(290)","0.00",
"04/09/2024 01:00:00","China Mobile 12063(291)","0.00",
"04/09/2024 01:00:00","Vimpelcom_DEFnew_res(292)","0.00",
"04/09/2024 01:00:00","MTT_MSK_INT2(293)","0.00",
"04/09/2024 01:00:00","MTT_MSK_INT3(294)","0.00",
"04/09/2024 01:00:00","M800 Limited(402)","0.00",
"04/09/2024 01:00:00","Cellcom(403)","0.00",
"04/09/2024 01:00:00","Ecotelecom(404)","0.00",
"04/09/2024 01:00:00","Unitel(405)","0.00",
"04/09/2024 01:00:00","Sipnet-2(406)","0.00",
"04/09/2024 01:00:00","TurkTelekom(407)","0.00",
"04/09/2024 01:00:00","UzbekTelecom(408)","0.00",
"04/09/2024 01:00:00","Deutsche_T(vpn)(409)","0.05",
"04/09/2024 01:00:00","Cetin(410)","0.00",
"04/09/2024 01:00:00","Astel(411)","0.00",
"04/09/2024 01:00:00","Nobel(415)","0.00",
"04/09/2024 01:00:00","Arelion Sweden(416)","0.01",
"04/09/2024 01:00:00","Aquafon(417)","0.00",
"04/09/2024 01:00:00","IBASIS(418)","0.00",
"04/09/2024 01:00:00","Viber(420)","0.00",
"04/09/2024 01:00:00","Indigo(421)","0.00",
"04/09/2024 01:00:00","CITIC(423)","0.00",
"04/09/2024 01:00:00","Exatel(424)","0.00",
"04/09/2024 01:00:00","TNS1(425)","0.00",
"04/09/2024 01:00:00","TNS2(426)","0.00",
"04/09/2024 01:00:00","Apollo-USA-2(427)","0.00",
"04/09/2024 01:00:00","Altmedia-Tel-2(428)","0.00",
"04/09/2024 01:00:00","Call-O-Call(429)","0.00",
"04/09/2024 01:00:00","Abhazsvyz(430)","0.00",
"04/09/2024 01:00:00","Mobinet LLC(431)","0.00",
"04/09/2024 01:00:00","Viber(432)","0.00",
"04/09/2024 01:00:00","Brilliant_Telcm(433)","0.00",
"04/09/2024 01:00:00","Altmedia Telecom(434)","0.00",
"04/09/2024 01:00:00","Kirgiztelecom(436)","0.00",
